Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Petal.Area,new_col,new_col2
5.1,3.5,1.4,0.2,setosa,0.27999999999999997,words,more words
4.9,3,1.4,0.2,setosa,0.27999999999999997,words,more words
4.7,3.2,1.3,0.2,setosa,0.26,words,more words
4.6,3.1,1.5,0.2,setosa,0.30000000000000004,words,more words
5,3.6,1.4,0.2,setosa,0.27999999999999997,words,more words
5.4,3.9,1.7,0.4,setosa,0.68,words,more words
4.6,3.4,1.4,0.3,setosa,0.42,words,more words
5,3.4,1.5,0.2,setosa,0.30000000000000004,words,more words
4.4,2.9,1.4,0.2,setosa,0.27999999999999997,words,more words
4.9,3.1,1.5,0.1,setosa,0.15000000000000002,words,more words
5.4,3.7,1.5,0.2,setosa,0.30000000000000004,words,more words
4.8,3.4,1.6,0.2,setosa,0.32000000000000006,words,more words
4.8,3,1.4,0.1,setosa,0.13999999999999999,words,more words
4.3,3,1.1,0.1,setosa,0.11000000000000001,words,more words
5.8,4,1.2,0.2,setosa,0.24,words,more words
5.7,4.4,1.5,0.4,setosa,0.6000000000000001,words,more words
5.4,3.9,1.3,0.4,setosa,0.52,words,more words
5.1,3.5,1.4,0.3,setosa,0.42,words,more words
5.7,3.8,1.7,0.3,setosa,0.51,words,more words
5.1,3.8,1.5,0.3,setosa,0.44999999999999996,words,more words
5.4,3.4,1.7,0.2,setosa,0.34,words,more words
5.1,3.7,1.5,0.4,setosa,0.6000000000000001,words,more words
4.6,3.6,1,0.2,setosa,0.2,words,more words
5.1,3.3,1.7,0.5,setosa,0.85,words,more words
4.8,3.4,1.9,0.2,setosa,0.38,words,more words
5,3,1.6,0.2,setosa,0.32000000000000006,words,more words
5,3.4,1.6,0.4,setosa,0.6400000000000001,words,more words
5.2,3.5,1.5,0.2,setosa,0.30000000000000004,words,more words
5.2,3.4,1.4,0.2,setosa,0.27999999999999997,words,more words
4.7,3.2,1.6,0.2,setosa,0.32000000000000006,words,more words
4.8,3.1,1.6,0.2,setosa,0.32000000000000006,words,more words
5.4,3.4,1.5,0.4,setosa,0.6000000000000001,words,more words
5.2,4.1,1.5,0.1,setosa,0.15000000000000002,words,more words
5.5,4.2,1.4,0.2,setosa,0.27999999999999997,words,more words
4.9,3.1,1.5,0.2,setosa,0.30000000000000004,words,more words
5,3.2,1.2,0.2,setosa,0.24,words,more words
5.5,3.5,1.3,0.2,setosa,0.26,words,more words
4.9,3.6,1.4,0.1,setosa,0.13999999999999999,words,more words
4.4,3,1.3,0.2,setosa,0.26,words,more words
5.1,3.4,1.5,0.2,setosa,0.30000000000000004,words,more words
5,3.5,1.3,0.3,setosa,0.39,words,more words
4.5,2.3,1.3,0.3,setosa,0.39,words,more words
4.4,3.2,1.3,0.2,setosa,0.26,words,more words
5,3.5,1.6,0.6,setosa,0.96,words,more words
5.1,3.8,1.9,0.4,setosa,0.76,words,more words
4.8,3,1.4,0.3,setosa,0.42,words,more words
5.1,3.8,1.6,0.2,setosa,0.32000000000000006,words,more words
4.6,3.2,1.4,0.2,setosa,0.27999999999999997,words,more words
5.3,3.7,1.5,0.2,setosa,0.30000000000000004,words,more words
5,3.3,1.4,0.2,setosa,0.27999999999999997,words,more words
7,3.2,4.7,1.4,versicolor,6.58,words,more words
6.4,3.2,4.5,1.5,versicolor,6.75,words,more words
6.9,3.1,4.9,1.5,versicolor,7.3500000000000005,words,more words
5.5,2.3,4,1.3,versicolor,5.2,words,more words
6.5,2.8,4.6,1.5,versicolor,6.8999999999999995,words,more words
5.7,2.8,4.5,1.3,versicolor,5.8500000000000005,words,more words
6.3,3.3,4.7,1.6,versicolor,7.5200000000000005,words,more words
4.9,2.4,3.3,1,versicolor,3.3,words,more words
6.6,2.9,4.6,1.3,versicolor,5.9799999999999995,words,more words
5.2,2.7,3.9,1.4,versicolor,5.46,words,more words
5,2,3.5,1,versicolor,3.5,words,more words
5.9,3,4.2,1.5,versicolor,6.300000000000001,words,more words
6,2.2,4,1,versicolor,4,words,more words
6.1,2.9,4.7,1.4,versicolor,6.58,words,more words
5.6,2.9,3.6,1.3,versicolor,4.680000000000001,words,more words
6.7,3.1,4.4,1.4,versicolor,6.16,words,more words
5.6,3,4.5,1.5,versicolor,6.75,words,more words
5.8,2.7,4.1,1,versicolor,4.1,words,more words
6.2,2.2,4.5,1.5,versicolor,6.75,words,more words
5.6,2.5,3.9,1.1,versicolor,4.29,words,more words
5.9,3.2,4.8,1.8,versicolor,8.64,words,more words
6.1,2.8,4,1.3,versicolor,5.2,words,more words
6.3,2.5,4.9,1.5,versicolor,7.3500000000000005,words,more words
6.1,2.8,4.7,1.2,versicolor,5.64,words,more words
6.4,2.9,4.3,1.3,versicolor,5.59,words,more words
6.6,3,4.4,1.4,versicolor,6.16,words,more words
6.8,2.8,4.8,1.4,versicolor,6.72,words,more words
6.7,3,5,1.7,versicolor,8.5,words,more words
6,2.9,4.5,1.5,versicolor,6.75,words,more words
5.7,2.6,3.5,1,versicolor,3.5,words,more words
5.5,2.4,3.8,1.1,versicolor,4.18,words,more words
5.5,2.4,3.7,1,versicolor,3.7,words,more words
5.8,2.7,3.9,1.2,versicolor,4.68,words,more words
6,2.7,5.1,1.6,versicolor,8.16,words,more words
5.4,3,4.5,1.5,versicolor,6.75,words,more words
6,3.4,4.5,1.6,versicolor,7.2,words,more words
6.7,3.1,4.7,1.5,versicolor,7.050000000000001,words,more words
6.3,2.3,4.4,1.3,versicolor,5.720000000000001,words,more words
5.6,3,4.1,1.3,versicolor,5.33,words,more words
5.5,2.5,4,1.3,versicolor,5.2,words,more words
5.5,2.6,4.4,1.2,versicolor,5.28,words,more words
6.1,3,4.6,1.4,versicolor,6.4399999999999995,words,more words
5.8,2.6,4,1.2,versicolor,4.8,words,more words
5,2.3,3.3,1,versicolor,3.3,words,more words
5.6,2.7,4.2,1.3,versicolor,5.460000000000001,words,more words
5.7,3,4.2,1.2,versicolor,5.04,words,more words
5.7,2.9,4.2,1.3,versicolor,5.460000000000001,words,more words
6.2,2.9,4.3,1.3,versicolor,5.59,words,more words
5.1,2.5,3,1.1,versicolor,3.3000000000000003,words,more words
5.7,2.8,4.1,1.3,versicolor,5.33,words,more words
6.3,3.3,6,2.5,virginica,15,words,more words
5.8,2.7,5.1,1.9,virginica,9.69,words,more words
7.1,3,5.9,2.1,virginica,12.39,words,more words
6.3,2.9,5.6,1.8,virginica,10.08,words,more words
6.5,3,5.8,2.2,virginica,12.76,words,more words
7.6,3,6.6,2.1,virginica,13.86,words,more words
4.9,2.5,4.5,1.7,virginica,7.6499999999999995,words,more words
7.3,2.9,6.3,1.8,virginica,11.34,words,more words
6.7,2.5,5.8,1.8,virginica,10.44,words,more words
7.2,3.6,6.1,2.5,virginica,15.25,words,more words
6.5,3.2,5.1,2,virginica,10.2,words,more words
